,Date,Calories,Carbohydrates,Fat,Protein,Sodium,Sugar,Weight,Body Fat %,Macro_calories,Calories_MA,Carbohydrates_MA,Fat_MA,Protein_MA,Sodium_MA,Sugar_MA,Weight_MA,Body Fat %_MA,Macro_calories_MA
90,2021-09-24,737.0,28.0,27.0,92.0,2579.0,5.0,164.8,17.2,723.0,2107.714285714286,233.85714285714286,69.71428571428571,153.57142857142858,3433.0,86.28571428571429,165.02857142857144,17.52857142857142,2177.1428571428573
89,2021-09-23,2012.0,230.0,60.0,163.0,3179.0,48.0,166.1,17.1,2112.0,2318.8571428571427,267.0,74.85714285714286,164.14285714285714,3615.0,105.57142857142857,165.0,17.58571428571428,2398.285714285714
88,2021-09-22,3151.0,411.0,111.0,155.0,4651.0,172.0,164.1,17.0,3263.0,2352.5714285714284,270.85714285714283,77.28571428571429,161.71428571428572,3791.8571428571427,119.71428571428571,164.82857142857145,17.671428571428567,2425.8571428571427
87,2021-09-21,2436.0,282.0,92.0,145.0,3556.0,106.0,164.2,17.4,2536.0,2225.4285714285716,249.28571428571428,71.71428571428571,162.28571428571428,3769.4285714285716,103.0,164.95714285714288,17.742857142857137,2291.714285714286
86,2021-09-20,1991.0,185.0,63.0,187.0,3367.0,87.0,165.8,18.2,2055.0,2187.0,243.0,69.0,163.71428571428572,3764.285714285714,105.42857142857143,164.98571428571432,17.771428571428565,2247.8571428571427
85,2021-09-19,2173.0,232.0,68.0,159.0,3236.0,101.0,165.3,17.8,2176.0,2216.1428571428573,251.42857142857142,68.85714285714286,161.71428571428572,3595.0,106.42857142857143,165.01428571428576,17.699999999999996,2272.285714285714
84,2021-09-18,2254.0,269.0,67.0,174.0,3463.0,85.0,164.9,18.0,2375.0,2257.0,252.71428571428572,71.57142857142857,161.42857142857142,3552.714285714286,114.0,164.98571428571432,17.728571428571424,2300.714285714286
83,2021-09-17,2215.0,260.0,63.0,166.0,3853.0,140.0,164.6,17.6,2271.0,2251.714285714286,253.14285714285714,70.85714285714286,160.28571428571428,3357.8571428571427,117.42857142857143,165.08571428571432,17.65714285714285,2291.4285714285716
82,2021-09-16,2248.0,257.0,77.0,146.0,4417.0,147.0,164.9,17.7,2305.0,2258.285714285714,255.28571428571428,70.57142857142857,159.57142857142858,3007.8571428571427,117.57142857142857,165.1857142857143,17.742857142857137,2294.5714285714284
81,2021-09-15,2261.0,260.0,72.0,159.0,4494.0,55.0,165.0,17.5,2324.0,2248.285714285714,258.14285714285717,67.28571428571429,162.57142857142858,2720.285714285714,115.85714285714286,165.28571428571428,17.728571428571424,2288.4285714285716
80,2021-09-14,2167.0,238.0,73.0,155.0,3520.0,123.0,164.4,17.6,2229.0,2250.1428571428573,260.85714285714283,65.28571428571429,165.14285714285714,2309.8571428571427,128.42857142857142,165.64285714285714,17.81428571428571,2291.5714285714284
79,2021-09-13,2195.0,244.0,62.0,173.0,2182.0,94.0,166.0,17.7,2226.0,2333.0,278.7142857142857,65.42857142857143,168.71428571428572,2120.8571428571427,135.42857142857142,165.94285714285712,17.799999999999994,2378.5714285714284
78,2021-09-12,2459.0,241.0,87.0,157.0,2940.0,154.0,165.1,18.0,2375.0,2317.714285714286,275.57142857142856,65.42857142857143,168.28571428571428,2020.7142857142858,135.28571428571428,166.1285714285714,17.799999999999994,2364.285714285714
77,2021-09-11,2217.0,272.0,62.0,166.0,2099.0,109.0,165.6,17.5,2310.0,2293.4285714285716,277.2857142857143,64.0,169.14285714285714,1897.857142857143,126.85714285714286,166.47142857142856,17.72857142857142,2361.714285714286
76,2021-09-10,2261.0,275.0,61.0,161.0,1403.0,141.0,165.3,18.2,2293.0,2308.1428571428573,273.85714285714283,68.71428571428571,166.14285714285714,2095.285714285714,128.71428571428572,166.75714285714284,17.899999999999995,2378.4285714285716
75,2021-09-09,2178.0,277.0,54.0,167.0,2404.0,135.0,165.6,17.6,2262.0,2325.8571428571427,274.42857142857144,70.14285714285714,167.57142857142858,2193.285714285714,124.42857142857143,167.14285714285714,17.942857142857136,2399.285714285714
74,2021-09-08,2274.0,279.0,58.0,177.0,1621.0,143.0,167.5,18.1,2346.0,2344.1428571428573,268.85714285714283,74.42857142857143,167.14285714285714,2096.1428571428573,117.28571428571429,167.55714285714288,18.042857142857134,2413.8571428571427
73,2021-09-07,2747.0,363.0,74.0,180.0,2197.0,172.0,166.5,17.5,2838.0,2354.714285714286,263.7142857142857,78.14285714285714,165.57142857142858,2087.8571428571427,108.57142857142857,167.72857142857146,17.999999999999993,2420.4285714285716
72,2021-09-06,2088.0,222.0,62.0,170.0,1481.0,93.0,167.3,17.7,2126.0,2320.8571428571427,248.71428571428572,80.85714285714286,166.42857142857142,2169.8571428571427,97.57142857142857,167.90000000000003,18.08571428571428,2388.285714285714
71,2021-09-05,2289.0,253.0,77.0,163.0,2080.0,95.0,167.5,17.5,2357.0,2312.5714285714284,256.0,79.28571428571429,163.85714285714286,2237.5714285714284,94.42857142857143,168.14285714285717,18.12857142857142,2393.0
70,2021-09-04,2320.0,248.0,95.0,145.0,3481.0,122.0,167.6,18.7,2427.0,2279.8571428571427,243.71428571428572,80.42857142857143,163.85714285714286,2326.0,88.57142857142857,168.4714285714286,18.29999999999999,2354.1428571428573
69,2021-09-03,2385.0,279.0,71.0,171.0,2089.0,111.0,168.0,18.5,2439.0,2453.714285714286,272.14285714285717,85.42857142857143,165.28571428571428,2234.714285714286,99.57142857142857,168.45714285714288,18.242857142857137,2518.5714285714284
68,2021-09-02,2306.0,238.0,84.0,164.0,1724.0,85.0,168.5,18.3,2364.0,2446.5714285714284,272.42857142857144,83.57142857142857,167.28571428571428,2224.5714285714284,99.57142857142857,168.41428571428577,18.299999999999994,2511.0
67,2021-09-01,2348.0,243.0,84.0,166.0,1563.0,82.0,168.7,17.8,2392.0,2474.1428571428573,281.14285714285717,82.14285714285714,167.71428571428572,2190.714285714286,106.28571428571429,168.2857142857143,18.31428571428571,2534.714285714286
66,2021-08-31,2510.0,258.0,93.0,186.0,2771.0,95.0,167.7,18.1,2613.0,2480.1428571428573,287.7142857142857,80.57142857142857,168.14285714285714,2227.1428571428573,110.85714285714286,168.0714285714286,18.42857142857142,2548.5714285714284
65,2021-08-30,2030.0,273.0,51.0,152.0,1955.0,71.0,169.0,18.0,2159.0,2475.0,290.0,79.0,166.0,2159.0,116.14285714285714,168.14285714285717,18.485714285714277,2535.0
64,2021-08-29,2060.0,167.0,85.0,163.0,2699.0,54.0,169.8,18.7,2085.0,2503.4285714285716,287.7142857142857,82.57142857142857,165.42857142857142,2189.285714285714,122.0,168.1857142857143,18.514285714285705,2555.714285714286
63,2021-08-28,3537.0,447.0,130.0,155.0,2842.0,199.0,167.5,18.3,3578.0,2595.5714285714284,311.57142857142856,83.71428571428571,161.14285714285714,2454.5714285714284,140.0,168.0714285714286,18.457142857142852,2644.285714285714
62,2021-08-27,2335.0,281.0,58.0,185.0,2018.0,111.0,167.7,18.9,2386.0,2434.0,277.2857142857143,76.28571428571429,164.0,2629.1428571428573,121.28571428571429,168.32857142857145,18.42857142857142,2451.714285714286
61,2021-08-26,2499.0,299.0,74.0,167.0,1487.0,132.0,167.6,18.4,2530.0,2429.285714285714,272.57142857142856,78.85714285714286,161.85714285714286,2847.0,115.42857142857143,168.32857142857145,18.29999999999999,2447.4285714285716
60,2021-08-25,2390.0,289.0,73.0,169.0,1818.0,114.0,167.2,18.6,2489.0,2415.1428571428573,267.85714285714283,81.0,159.42857142857142,3056.1428571428573,111.0,168.42857142857147,18.242857142857137,2438.1428571428573
59,2021-08-24,2474.0,274.0,82.0,171.0,2294.0,132.0,168.2,18.5,2518.0,2412.8571428571427,263.85714285714283,82.57142857142857,157.28571428571428,3245.285714285714,109.85714285714286,168.58571428571432,18.185714285714276,2427.714285714286
58,2021-08-23,2229.0,257.0,76.0,148.0,2167.0,112.0,169.3,18.2,2304.0,2376.285714285714,247.28571428571428,83.28571428571429,153.14285714285714,3331.285714285714,105.57142857142857,168.74285714285716,18.142857142857135,2351.285714285714
57,2021-08-22,2705.0,334.0,93.0,133.0,4556.0,180.0,169.0,18.3,2705.0,2405.714285714286,250.42857142857142,83.85714285714286,155.57142857142858,3468.285714285714,100.14285714285714,168.81428571428572,18.171428571428567,2378.714285714286
56,2021-08-21,2406.0,207.0,78.0,175.0,4064.0,68.0,169.3,18.1,2230.0,2365.0,236.42857142857142,86.42857142857143,156.71428571428572,3183.4285714285716,84.0,168.8857142857143,18.199999999999996,2350.4285714285716
55,2021-08-20,2302.0,248.0,76.0,170.0,3543.0,70.0,167.7,18.0,2356.0,2376.285714285714,246.57142857142858,87.71428571428571,156.28571428571428,3290.714285714286,90.0,168.91428571428574,18.22857142857142,2400.8571428571427
54,2021-08-19,2400.0,266.0,89.0,150.0,2951.0,101.0,168.3,18.0,2465.0,2398.714285714286,237.14285714285714,93.0,160.28571428571428,3088.5714285714284,90.57142857142857,169.20000000000002,18.328571428571422,2426.714285714286
53,2021-08-18,2374.0,261.0,84.0,154.0,3142.0,106.0,168.3,18.2,2416.0,2388.714285714286,237.85714285714286,91.28571428571429,163.57142857142858,3172.285714285714,93.42857142857143,169.41428571428574,18.38571428571428,2427.285714285714
52,2021-08-17,2218.0,158.0,87.0,142.0,2896.0,102.0,169.3,18.2,1983.0,2395.285714285714,236.57142857142858,93.85714285714286,164.42857142857142,3139.8571428571427,91.71428571428571,169.6857142857143,18.428571428571423,2448.714285714286
51,2021-08-16,2435.0,279.0,80.0,165.0,3126.0,74.0,169.8,18.4,2496.0,2341.5714285714284,236.85714285714286,93.71428571428571,163.85714285714286,3099.5714285714284,82.28571428571429,170.1714285714286,18.52857142857143,2446.285714285714
50,2021-08-15,2420.0,236.0,111.0,141.0,2562.0,67.0,169.5,18.5,2507.0,2283.285714285714,226.42857142857142,92.57142857142857,159.57142857142858,3218.4285714285716,81.28571428571429,170.0714285714286,18.52857142857143,2377.1428571428573
49,2021-08-13,2485.0,278.0,87.0,172.0,4815.0,110.0,169.5,18.3,2583.0,2428.5714285714284,247.85714285714286,91.42857142857143,168.42857142857142,3610.5714285714284,98.71428571428571,169.88571428571433,18.428571428571427,2488.0
48,2021-08-12,2459.0,182.0,113.0,198.0,2128.0,74.0,169.7,18.7,2537.0,2496.5714285714284,260.0,93.14285714285714,167.28571428571428,3372.285714285714,105.14285714285714,169.70000000000005,18.3,2547.4285714285716
47,2021-08-11,2330.0,271.0,77.0,173.0,3537.0,121.0,169.8,18.4,2469.0,2498.0,268.7142857142857,89.57142857142857,163.42857142857142,3453.4285714285716,107.57142857142857,169.40000000000003,18.114285714285717,2534.714285714286
46,2021-08-10,2420.0,252.0,102.0,160.0,2915.0,94.0,170.2,18.5,2566.0,2524.4285714285716,259.85714285714283,93.57142857142857,159.85714285714286,3275.285714285714,102.0,169.15714285714287,18.042857142857144,2521.0
45,2021-08-09,1842.0,160.0,86.0,138.0,2614.0,36.0,172.7,18.9,1966.0,2489.1428571428573,255.28571428571428,88.85714285714286,162.28571428571428,3274.5714285714284,97.57142857142857,168.7571428571429,18.028571428571432,2470.0
44,2021-08-02,2027.0,206.0,72.0,135.0,3958.0,67.0,169.1,18.4,2012.0,2580.285714285714,275.85714285714283,87.42857142857143,165.14285714285714,3184.714285714286,104.85714285714286,168.02857142857144,17.88571428571429,2550.8571428571427
43,2021-08-01,3437.0,386.0,103.0,203.0,5307.0,189.0,168.2,17.8,3283.0,2721.0,291.42857142857144,92.71428571428571,175.42857142857142,2996.4285714285716,112.71428571428571,168.00000000000003,17.828571428571433,2701.8571428571427
42,2021-07-31,2961.0,363.0,99.0,164.0,3147.0,155.0,168.2,17.4,2999.0,2676.8571428571427,282.57142857142856,100.28571428571429,161.42857142857142,2667.5714285714284,115.85714285714286,168.10000000000005,17.814285714285717,2678.5714285714284
